CODIGO PROGRAMA;NOME PROGRAMA;2010;2011;2012;2013;2014;2015
1723;MODERNIZACAO DO COMPLEXO BARRA FUNDA;0,0;0,0;0;0;0;0
3512;GESTAO DA POLITICA SOCIAL;955626,9200000002;531434,14;3458579,94;63578226,790000014;24345892,22;27218782,440000005
4403;GESTAO ESTRATEGICA DE PESSOAS;11297509,19;9620790,410000002;7867362,42;9013327,46;9831362,14;7089234,69
2806;CENTRO DE EXCELENCIA EM GESTAO PUBLICA;0,0;0;0;0;0;0
1301;GERACAO E TRANSFERENCIA DE CONHECIMENTO E TECNOLOGIAS PARA O AGRONEGOCIO;179497575,30999988;190800371,25999996;237250124,4499998;231977734,33000016;239307824,9600005;0
1215;PRESERVACAO DO PATRIMONIO CULTURAL;5856919,17;5885244,0;5298412,0;17649531,0;240121,0;4500,0
1703;PROGRAMA ESTADUAL DE DIREITOS HUMANOS;5829801,089999999;7147144,050000001;14726347,160000006;19376275,08;87485801,91999999;60887074,11999999
4907;FORTALECIMENTO DA INDUSTRIA DE PRODUCAO MINERAL PAULISTA;0;0;0;0;0;468903,15
1717;CONSTRUCAO AMP. REF. E ADAPT.  EDIF. FORENSES JUDICIARIO E  MINISTERIO PUBLICO;48444805,07000001;46731013,22;0,0;0,0;0,0;0,0
4001;ADVOCACIA DO ESTADO;960000,0;960000,0;584286522,7799996;626911760,5200003;659859065,5900005;722022496,0100005
1603;REGULACAO E FISCALIZACAO DOS SERVICOS DE TRANSPORTES;153084675,75;153735934,72000006;287231413,08999974;227126954,54000005;186112497,28000003;174111688,04
1039;PROGRAMA ESTADUAL DE EDUCACAO PROFISSIONAL E TECNOLOGICA;0;0;1380981041,1600087;1890302430,6800027;1814788760,260006;1923660324,360002
1313;RISCO SANITARIO ZERO;10859536,01;2095115,9400000002;1614441,5999999999;21934,0;0,0;0
1311;DEFESA AGROPECUARIA PARA PROTECAO AMBIENTAL, SAUDE PUBLICA E SEGURANCA ALIMENTAR;0;0;0;0;0;105359392,14000033
4002;ASSISTENCIA JUDICIARIA AOS LEGALMENTE NECESSITADOS;0,0;0,0;0,0;0;0;0
4907;PROGRAMA ESTADUAL DE MINERACAO;0;0;839775,0800000001;1302316,55;1197778,82;0
